Fach;LV;Beschreibung;Start date;Start time;End date;End time;Duration;Tags;Studienphase;Semester
BWL;Accounting & Management Control I;Lerncheck;17.04.19;07:49:43;17.04.19;09:20:43;1:31:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;18.04.19;12:02:21;18.04.19;13:17:21;1:15:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;18.04.19;15:00:30;18.04.19;16:15:30;1:15:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;19.04.19;09:32:51;19.04.19;10:47:51;1:15:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;19.04.19;20:02:09;19.04.19;21:08:11;1:06:02;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;19.04.19;12:42:50;19.04.19;13:19:53;0:37:03;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;19.04.19;11:17:55;19.04.19;11:31:27;0:13:32;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;20.04.19;08:58:21;20.04.19;10:13:21;1:15:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;21.04.19;08:45:25;21.04.19;10:00:25;1:15:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;22.04.19;11:26:11;22.04.19;11:57:47;0:31:36;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;22.04.19;13:25:09;22.04.19;13:49:59;0:24:50;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;23.04.19;13:00:56;23.04.19;14:15:56;1:15:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;23.04.19;11:30:52;23.04.19;12:11:19;0:40:27;LEARN@WU;CBK;SS2019
English Business Communication;English Business Communication 1;Prüfungsvorbereitung;23.04.19;10:59:51;23.04.19;11:30:32;0:30:41;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;24.04.19;09:28:53;24.04.19;11:00:53;1:32:00;LEARN@WU;CBK;SS2019
English Business Communication;English Business Communication 1;Prüfungsvorbereitung;25.04.19;07:09:22;25.04.19;08:24:22;1:15:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;25.04.19;11:09:08;25.04.19;12:24:08;1:15:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;25.04.19;23:25:05;26.04.19;00:25:09;1:00:04;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;25.04.19;17:30:41;25.04.19;18:25:16;0:54:35;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;26.04.19;12:50:42;26.04.19;14:15:42;1:25:00;LEARN@WU;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;26.04.19;11:11:19;26.04.19;12:21:03;1:09:44;LEARN@WU;CBK;SS2019
English Business Communication;English Business Communication 1;Prüfungsvorbereitung;26.04.19;10:37:06;26.04.19;10:57:27;0:20:21;Prüfungsvorbereitung;CBK;SS2019
English Business Communication;English Business Communication 1;Prüfungsvorbereitung;27.04.19;08:30:02;27.04.19;09:45:02;1:15:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;27.04.19;18:15:13;27.04.19;19:17:22;1:02:09;LEARN@WU;CBK;SS2019
English Business Communication;English Business Communication 1;mid term check;28.04.19;11:00:55;28.04.19;12:15:55;1:15:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Lerncheck;28.04.19;14:00:12;28.04.19;15:15:12;1:15:00;LEARN@WU;CBK;SS2019
English Business Communication;English Business Communication 1;mid term check;28.04.19;10:15:14;28.04.19;10:39:57;0:24:43;Prüfungsvorbereitung;CBK;SS2019
English Business Communication;English Business Communication 1;mid term check;28.04.19;15:15:28;28.04.19;15:24:01;0:08:33;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;musterklausur;29.04.19;18:36:40;29.04.19;19:51:40;1:15:00;Prüfungsvorbereitung;CBK;SS2019
English Business Communication;English Business Communication 1;mid term check;29.04.19;09:05:48;29.04.19;09:53:42;0:47:54;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;musterklausur;29.04.19;19:52:00;29.04.19;20:24:04;0:32:04;Prüfungsvorbereitung;CBK;SS2019
English Business Communication;English Business Communication 1;mid term exam;29.04.19;14:30:45;29.04.19;15:00:45;0:30:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;musterklausur;29.04.19;20:49:53;29.04.19;21:04:47;0:14:54;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;musterklausur;30.04.19;16:00:19;30.04.19;19:15:19;3:15:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;musterklausur;30.04.19;10:00:15;30.04.19;11:13:36;1:13:21;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;musterklausur;30.04.19;11:00:38;30.04.19;11:57:47;0:57:09;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;musterklausur;30.04.19;09:14:13;30.04.19;09:38:32;0:24:19;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;musterklausur;01.05.19;12:00:59;01.05.19;14:00:59;2:00:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Prüfungsvorbereitung;01.05.19;18:22:23;01.05.19;19:37:23;1:15:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;AMC1 Prüfung;02.05.19;14:00:00;02.05.19;16:00:00;2:00:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Prüfungsvorbereitung;02.05.19;10:49:59;02.05.19;12:04:59;1:15:00;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Prüfungsvorbereitung;02.05.19;09:49:37;02.05.19;10:49:58;1:00:21;Prüfungsvorbereitung;CBK;SS2019
BWL;Accounting & Management Control I;Prüfungsvorbereitung;02.05.19;12:05:02;02.05.19;12:49:07;0:44:05;Prüfungsvorbereitung;CBK;SS2019
;Vorbereitung, Planung, Organisation;studienplanung;03.05.19;13:00:03;03.05.19;13:38:16;0:38:13;;CBK;SS2019
;Vorbereitung, Planung, Organisation;studienplanung;04.05.19;12:13:05;04.05.19;13:28:05;1:15:00;;CBK;SS2019
Sozioökonomie;Zukunftsfähiges Wirtschaften I;1. Einheit: Zukunftsfähigkeit als wirtschaftliche Herausforderung;05.05.19;21:46:14;05.05.19;22:51:20;1:05:06;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control II;Leistungsprogramm;06.05.19;14:00:50;06.05.19;17:00:50;3:00:00;Vorlesung;CBK;SS2019
BWL;Accounting & Management Control II;Leistungsprogramm;06.05.19;18:41:37;06.05.19;19:49:41;1:08:04;Nachbereitung;CBK;SS2019
BWL;Accounting & Management Control II;Leistungsprogramm;06.05.19;11:30:26;06.05.19;12:10:21;0:39:55;Vorbereitung;CBK;SS2019
